TotalPurchases,TotalSpending,AvgPurchaseValue
25,1617,64.68
6,27,4.5
21,776,36.95238095238095
8,53,6.625
19,422,22.210526315789473
22,716,32.54545454545455
21,590,28.095238095238095
10,169,16.9
6,46,7.666666666666667
2,49,24.5
6,61,10.166666666666666
16,1102,68.875
15,310,20.666666666666668
5,46,9.2
26,1315,50.57692307692308
9,96,10.666666666666666
13,317,24.384615384615383
26,1782,68.53846153846153
8,133,16.625
12,316,26.333333333333332
43,1730,40.23255813953488
17,972,57.1764705882353
20,544,27.2
20,444,22.2
8,75,9.375
14,257,18.357142857142858
9,131,14.555555555555555
26,1672,64.3076923076923
8,30,3.75
11,318,28.90909090909091
9,120,13.333333333333334
17,302,17.764705882352942
18,1196,66.44444444444444
6,65,10.833333333333334
28,913,32.607142857142854
9,81,9.0
7,67,9.571428571428571
24,902,37.583333333333336
21,1395,66.42857142857143
7,53,7.571428571428571
4,22,5.5
8,31,3.875
16,984,61.5
10,122,12.2
5,55,11.0
28,1319,47.107142857142854
17,507,29.823529411764707
29,1693,58.37931034482759
7,72,10.285714285714286
21,1617,77.0
23,606,26.347826086956523
27,1957,72.48148148148148
21,1093,52.04761904761905
6,29,4.833333333333333
19,518,27.263157894736842
21,1438,68.47619047619048
22,612,27.818181818181817
24,884,36.833333333333336
19,606,31.894736842105264
16,1076,67.25
5,34,6.8
4,11,2.75
32,1274,39.8125
18,653,36.27777777777778
19,1562,82.21052631578948
21,1253,59.666666666666664
30,863,28.766666666666666
24,661,27.541666666666668
8,65,8.125
4,13,3.25
19,1890,99.47368421052632
22,2209,100.4090909090909
4,18,4.5
21,692,32.95238095238095
12,165,13.75
4,16,4.0
9,79,8.777777777777779
11,318,28.90909090909091
27,778,28.814814814814813
7,56,8.0
13,151,11.615384615384615
17,372,21.88235294117647
19,1366,71.89473684210526
10,194,19.4
5,32,6.4
10,43,4.3
6,45,7.5
22,606,27.545454545454547
7,63,9.0
25,978,39.12
16,410,25.625
7,72,10.285714285714286
7,55,7.857142857142857
27,1169,43.2962962962963
16,1120,70.0
20,1097,54.85
5,29,5.8
13,187,14.384615384615385
26,910,35.0
9,145,16.11111111111111
14,850,60.714285714285715
24,969,40.375
17,1820,107.05882352941177
20,608,30.4
25,730,29.2
21,551,26.238095238095237
8,114,14.25
15,1724,114.93333333333334
20,577,28.85
7,81,11.571428571428571
7,33,4.714285714285714
22,660,30.0
9,80,8.88888888888889
6,30,5.0
5,43,8.6
27,1135,42.03703703703704
16,559,34.9375
16,1923,120.1875
8,90,11.25
23,661,28.73913043478261
19,463,24.36842105263158
23,632,27.47826086956522
19,725,38.1578947368421
16,279,17.4375
23,1482,64.43478260869566
6,29,4.833333333333333
9,106,11.777777777777779
6,49,8.166666666666666
7,38,5.428571428571429
22,2077,94.4090909090909
17,1053,61.94117647058823
23,1385,60.21739130434783
25,871,34.84
12,312,26.0
15,877,58.46666666666667
6,68,11.333333333333334
4,22,5.5
16,211,13.1875
8,127,15.875
16,459,28.6875
19,460,24.210526315789473
17,429,25.235294117647058
11,89,8.090909090909092
26,1021,39.26923076923077
21,1381,65.76190476190476
15,306,20.4
4,18,4.5
9,162,18.0
18,1231,68.38888888888889
4,13,3.25
27,1706,63.18518518518518
11,121,11.0
20,1293,64.65
9,88,9.777777777777779
18,421,23.38888888888889
12,259,21.583333333333332
15,1117,74.46666666666667
9,89,9.88888888888889
6,36,6.0
7,57,8.142857142857142
8,148,18.5
8,93,11.625
7,119,17.0
28,1835,65.53571428571429
25,1318,52.72
7,45,6.428571428571429
4,10,2.5
25,978,39.12
10,191,19.1
9,57,6.333333333333333
24,1033,43.041666666666664
6,66,11.0
6,43,7.166666666666667
5,50,10.0
7,39,5.571428571428571
18,608,33.77777777777778
24,1581,65.875
7,68,9.714285714285714
5,80,16.0
28,1282,45.785714285714285
8,91,11.375
16,315,19.6875
6,31,5.166666666666667
23,834,36.26086956521739
17,1600,94.11764705882354
17,1270,74.70588235294117
15,263,17.533333333333335
19,535,28.157894736842106
18,1295,71.94444444444444
29,1150,39.6551724137931
26,1240,47.69230769230769
6,38,6.333333333333333
4,35,8.75
5,53,10.6
17,293,17.235294117647058
6,65,10.833333333333334
29,1804,62.206896551724135
15,241,16.066666666666666
20,1101,55.05
19,264,13.894736842105264
26,541,20.807692307692307
17,1198,70.47058823529412
20,482,24.1
4,17,4.25
25,1615,64.6
12,285,23.75
28,1135,40.535714285714285
7,114,16.285714285714285
16,1047,65.4375
22,714,32.45454545454545
13,185,14.23076923076923
32,1245,38.90625
12,189,15.75
16,576,36.0
18,1103,61.27777777777778
17,1753,103.11764705882354
4,17,4.25
23,433,18.82608695652174
14,1588,113.42857142857143
4,22,5.5
5,19,3.8
29,1117,38.51724137931034
8,69,8.625
5,23,4.6
19,605,31.842105263157894
11,57,5.181818181818182
22,2088,94.9090909090909
16,1009,63.0625
5,26,5.2
22,1627,73.95454545454545
31,1102,35.54838709677419
6,17,2.8333333333333335
16,1690,105.625
21,1390,66.19047619047619
20,2126,106.3
25,1531,61.24
7,64,9.142857142857142
6,26,4.333333333333333
29,1112,38.3448275862069
11,210,19.09090909090909
26,1148,44.15384615384615
6,33,5.5
19,1101,57.94736842105263
16,322,20.125
10,44,4.4
4,17,4.25
6,31,5.166666666666667
25,845,33.8
15,275,18.333333333333332
4,25,6.25
17,275,16.176470588235293
11,90,8.181818181818182
19,1495,78.6842105263158
11,184,16.727272727272727
13,981,75.46153846153847
8,67,8.375
14,1635,116.78571428571429
10,60,6.0
12,231,19.25
10,48,4.8
9,99,11.0
23,770,33.47826086956522
23,957,41.608695652173914
12,818,68.16666666666667
17,925,54.411764705882355
22,908,41.27272727272727
10,102,10.2
16,576,36.0
13,317,24.384615384615383
15,461,30.733333333333334
7,37,5.285714285714286
7,70,10.0
23,930,40.43478260869565
33,859,26.03030303030303
22,1478,67.18181818181819
16,390,24.375
5,52,10.4
10,137,13.7
19,1919,101.0
9,68,7.555555555555555
4,25,6.25
23,1374,59.73913043478261
5,32,6.4
7,100,14.285714285714286
12,825,68.75
28,916,32.714285714285715
11,62,5.636363636363637
21,728,34.666666666666664
7,90,12.857142857142858
13,273,21.0
10,66,6.6
23,1213,52.73913043478261
7,107,15.285714285714286
18,1157,64.27777777777777
18,546,30.333333333333332
11,241,21.90909090909091
11,53,4.818181818181818
7,37,5.285714285714286
23,1508,65.56521739130434
16,235,14.6875
7,32,4.571428571428571
8,102,12.75
15,401,26.733333333333334
6,28,4.666666666666667
21,680,32.38095238095238
4,30,7.5
4,20,5.0
23,1307,56.82608695652174
24,630,26.25
18,1283,71.27777777777777
9,65,7.222222222222222
5,37,7.4
5,38,7.6
12,160,13.333333333333334
4,23,5.75
6,71,11.833333333333334
19,1161,61.10526315789474
5,59,11.8
7,33,4.714285714285714
22,946,43.0
22,1442,65.54545454545455
5,62,12.4
22,1674,76.0909090909091
21,1538,73.23809523809524
8,139,17.375
20,1182,59.1
18,507,28.166666666666668
4,18,4.5
16,940,58.75
6,42,7.0
15,1190,79.33333333333333
8,44,5.5
4,16,4.0
26,835,32.11538461538461
22,1443,65.5909090909091
18,1029,57.166666666666664
18,1188,66.0
24,1277,53.208333333333336
7,49,7.0
7,99,14.142857142857142
15,1670,111.33333333333333
14,900,64.28571428571429
16,425,26.5625
22,2153,97.86363636363636
21,636,30.285714285714285
10,57,5.7
4,25,6.25
22,494,22.454545454545453
19,693,36.473684210526315
26,1348,51.84615384615385
7,51,7.285714285714286
16,1932,120.75
16,990,61.875
5,30,6.0
16,254,15.875
5,29,5.8
23,1371,59.608695652173914
9,73,8.11111111111111
11,120,10.909090909090908
5,81,16.2
5,37,7.4
20,1377,68.85
5,51,10.2
4,17,4.25
4,22,5.5
14,324,23.142857142857142
16,211,13.1875
4,19,4.75
8,41,5.125
17,492,28.941176470588236
26,1005,38.65384615384615
7,114,16.285714285714285
19,1173,61.73684210526316
19,1738,91.47368421052632
12,222,18.5
16,1127,70.4375
10,209,20.9
23,787,34.21739130434783
24,1598,66.58333333333333
12,186,15.5
6,47,7.833333333333333
5,27,5.4
11,96,8.727272727272727
10,64,6.4
23,1040,45.21739130434783
13,163,12.538461538461538
11,343,31.181818181818183
24,446,18.583333333333332
5,41,8.2
9,70,7.777777777777778
14,272,19.428571428571427
6,46,7.666666666666667
19,490,25.789473684210527
8,79,9.875
17,915,53.8235294117647
35,1485,42.42857142857143
16,369,23.0625
19,1073,56.473684210526315
19,1242,65.36842105263158
9,78,8.666666666666666
21,1378,65.61904761904762
26,1474,56.69230769230769
29,751,25.896551724137932
7,48,6.857142857142857
6,45,7.5
4,10,2.5
16,1435,89.6875
